shade,L,a,b
1M1,83.1,-0.1,12.5
1M2,84.0,-0.2,18.8
2L1.5,79.0,0.0,18.5
2L2.5,79.5,0.2,24.5
2M1,78.0,0.8,14.0
2M2,78.7,0.9,19.9
2M3,79.2,0.7,25.3
2R1.5,77.8,1.5,16.3
2R2.5,79.5,1.7,23.3
3L1.5,73.1,1.5,20.3
3L2.5,73.9,1.9,26.2
3M1,73.4,1.8,15.4
3M2,74.6,2.0,21.5
3M3,75.0,2.6,27.9
3R1.5,73.4,2.7,17.9
3R2.5,73.6,3.5,25.9
4L1.5,69.2,2.8,21.7
4L2.5,69.1,3.7,28.5
4M1,68.3,2.9,17.0
4M2,70.1,3.7,23.7
4M3,69.5,4.8,30.7
4R1.5,69.6,4.3,20.8
4R2.5,69.2,5.1,26.3
5M1,64.4,4.2,19.4
5M2,65.1,5.7,26.3
5M3,65.9,7.0,33.4
